"outcome","statement","odd_mydat","even_mydat"
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,1
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,1
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,2
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,2
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,2
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,3
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,3
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,3
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,2
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,1
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,2
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,2
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,5
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",4,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,NA
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",1,3
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",5,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",2,4
2,"Minimize the likelihood that my ML Platform does not integrate with a wide set of data storage formats and providers. E.g. only AWS S3.",3,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",2,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,NA
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",1,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",2,NA
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",2,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",2,1
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",1,NA
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",1,NA
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",2,1
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",1,NA
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,NA
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",4,2
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,5
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,4
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",3,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",2,3
3,"Minimize the likelihood of not having seamless data access between the data platform and data science platform, making it harder to reuse the data governance and compliance obligations established in the data platform.",5,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,1
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",5,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,2
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,2
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,2
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",5,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",5,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,2
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,1
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",5,2
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,NA
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",5,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",2,3
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,2
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",5,5
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",4,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",3,4
4,"Minimize the likelihood that an AI/ML platform does not integrate with a wide range of databases",1,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",2,1
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",2,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,1
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,NA
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",1,NA
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,3
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,5
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",3,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,4
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",4,2
5,"Minimize the effort to efficiently manage and access data for building AI/ML models",5,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",3,2
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",3,3
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,4
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",1,NA
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,2
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,4
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,3
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,1
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,4
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,NA
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,5
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,2
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,NA
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",3,4
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",5,2
6,"Minimize the likelihood that an AI/ML model has not been checked and filtered for data toxicity, bias, and Personal Identifying Information.",4,4
